Material,Batch,End Date,Period,Year,U.O.M.,Theoretical Yield,G.R.Qty,Total Input in ML,QC Qty (ML),Theoretical Yield(ML),G.R.Qty(ML),Waste in ML,% Waste loss,Waste Total Cost
NR9725U,6889033,17/01/2024,1,2024,PLT,80.495,61,25950.25,192,25758.4,19520,6238.4,24.2,116.66
PT4146F,6889043,17/01/2024,1,2024,PLT,870.364,867,157925.492,1260,156665.52,156060,605.52,0.4,10.35
PT4146F,6889053,17/01/2024,1,2024,PLT,870.364,842,157925.492,1260,156665.52,151560,5105.52,3.3,87.3
PT4146F,6889063,17/01/2024,1,2024,PLT,870.364,845,157925.492,1260,156665.52,152100,4565.52,2.9,78.07
JY8910V,6889073,17/01/2024,1,2024,PLT,285.725,230,51520.451,90,51430.5,41400,10030.5,19.5,235.72
RV9146Z,6889083,17/01/2024,1,2024,PAK,122.684,93,20941.2,85,20856.28,15810,5046.28,24.2,176.62
JM1441K,6889093,18/01/2024,1,2024,PLT,1865.131,1647,337163.49,1440,335723.58,296460,39263.58,11.7,612.51
JM1441K,6889103,18/01/2024,1,2024,PLT,1865.131,0,337163.49,1440,335723.58,0,335723.58,100,5237.29
JM1441K,6889113,18/01/2024,1,2024,PLT,1865.131,1732,337163.49,1440,335723.58,311760,23963.58,7.1,373.83
JM1441K,6889123,18/01/2024,1,2024,PLT,1865.131,1800,337163.49,1440,335723.58,324000,11723.58,3.5,182.89
HY6856M,6889133,18/01/2024,1,2024,PLT,115.375,112,22871.3,950,21921.25,21280,641.25,2.9,11.54
CI3726D,6889143,18/01/2024,1,2024,PLT,941.986,0,169683.42,126,169557.48,0,169557.48,100,3035.08
PM5532E,6889153,18/01/2024,1,2024,PLT,138.764,0,26460.2,95,26365.16,0,26365.16,100,606.4
IR3867R,6889163,18/01/2024,1,2024,PLT,57.195,44,10924.1,57,10867.05,8360,2507.05,23.1,39.11
SZ5543Q,6889173,18/01/2024,1,2024,PLT,241.453,188,43605.5,144,43461.54,33840,9621.54,22.1,238.61
MS4740W,6889183,18/01/2024,1,2024,PLT,809.674,798,145867.29,126,145741.32,143640,2101.32,1.4,39.71
UA3908A,6889193,18/01/2024,1,2024,PLT,306.289,232,55222.071,90,55132.02,41760,13372.02,24.3,256.74
HS4030Z,6889203,18/01/2024,1,2024,PLT,145.5,141,27740.025,95,27645,26790,855,3.1,21.97
KS8093X,6889213,18/01/2024,1,2024,PAK,289.159,220,49292.96,136,49157.03,37400,11757.03,23.9,201.05
TQ9608P,6889223,18/01/2024,1,2024,PLT,1100.171,1145,209184.4,152,209032.49,217550,8517.51,-4.1,-100.51
TQ9608P,6889233,18/01/2024,1,2024,PLT,1100.171,1070,209184.4,152,209032.49,203300,5732.49,2.7,67.64
CK8573T,6889243,18/01/2024,1,2024,PLT,120.746,112,21824.2,90,21734.28,20160,1574.28,7.2,27.08
JQ7006J,6889253,18/01/2024,1,2024,PLT,1580.954,1517,415208,4160,411048.04,394420,16628.04,4,159.63
